Year,Month,Station,Surface,Borehole
2015,  Jan,Mare Aux Vacoas -(Upper MAW), 3.5 , 0.7 
2015,  Feb,Mare Aux Vacoas -(Upper MAW), 3.4 , 0.6 
2015,  Mar,Mare Aux Vacoas -(Upper MAW), 3.8 , 0.7 
2015,  Apr,Mare Aux Vacoas -(Upper MAW), 3.4 , 0.7 
2015,  May,Mare Aux Vacoas -(Upper MAW), 3.7 , 0.6 
2015,  Jun,Mare Aux Vacoas -(Upper MAW), 3.6 , 0.7 
2015,  Jul,Mare Aux Vacoas -(Upper MAW), 3.8 , 0.7 
2015,  Aug,Mare Aux Vacoas -(Upper MAW), 3.7 , 0.7 
2015,  Sep,Mare Aux Vacoas -(Upper MAW), 3.6 , 0.6 
2015,  Oct,Mare Aux Vacoas -(Upper MAW), 3.8 , 0.6 
2015,  Nov,Mare Aux Vacoas -(Upper MAW), 3.8 , 0.6 
2015,  Dec,Mare Aux Vacoas -(Upper MAW), 3.8 , 0.6 
2016,  Jan,Mare Aux Vacoas -(Upper MAW), 3.7 , 0.7 
2016,  Feb,Mare Aux Vacoas -(Upper MAW), 3.6 , 0.6 
2016,  Mar,Mare Aux Vacoas -(Upper MAW), 3.8 , 0.7 
2016,  Apr,Mare Aux Vacoas -(Upper MAW), 3.7 , 0.6 
2016,  May,Mare Aux Vacoas -(Upper MAW), 3.6 , 0.7 
2016,  Jun,Mare Aux Vacoas -(Upper MAW), 3.5 , 0.6 
2016,  Jul,Mare Aux Vacoas -(Upper MAW), 3.8 , 0.7 
2016,  Aug,Mare Aux Vacoas -(Upper MAW), 3.9 , 0.7 
2016,  Sep,Mare Aux Vacoas -(Upper MAW), 3.6 , 0.6 
2016,  Oct,Mare Aux Vacoas -(Upper MAW), 3.9 , 0.6 
2016,  Nov,Mare Aux Vacoas -(Upper MAW), 3.6 , 0.6 
2016,  Dec,Mare Aux Vacoas -(Upper MAW), 3.9 , 0.6 
2017,  Jan,Mare Aux Vacoas -(Upper MAW),3.6  ,0.7  
2017,  Feb,Mare Aux Vacoas -(Upper MAW),3.3  ,0.6  
2017,  Mar,Mare Aux Vacoas -(Upper MAW),3.7  ,0.8  
2017,  Apr,Mare Aux Vacoas -(Upper MAW),3.5  ,0.6  
2017,  May,Mare Aux Vacoas -(Upper MAW),3.7  ,0.7  
2017,  Jun,Mare Aux Vacoas -(Upper MAW),3.6  ,0.7  
2017,  Jul,Mare Aux Vacoas -(Upper MAW),3.7  ,0.7  
2017,  Aug,Mare Aux Vacoas -(Upper MAW),3.7  ,0.7  
2017,  Sep,Mare Aux Vacoas -(Upper MAW),3.7  ,0.6  
2017,  Oct,Mare Aux Vacoas -(Upper MAW),3.8  ,0.6  
2017,  Nov,Mare Aux Vacoas -(Upper MAW),3.7  ,0.6  
2017,  Dec,Mare Aux Vacoas -(Upper MAW),3.8  ,0.7  
2018,  Jan,Mare Aux Vacoas -(Upper MAW),3.8  ,0.7  
2018,  Feb,Mare Aux Vacoas -(Upper MAW),3.4  ,0.6  
2018,  Mar,Mare Aux Vacoas -(Upper MAW),3.8  ,0.7  
2018,  Apr,Mare Aux Vacoas -(Upper MAW),3.6  ,0.7  
2018,  May,Mare Aux Vacoas -(Upper MAW),3.8  ,0.7  
2018,  Jun,Mare Aux Vacoas -(Upper MAW),3.7  ,0.6  
2018,  Jul,Mare Aux Vacoas -(Upper MAW),3.8  ,0.7  
2018,  Aug,Mare Aux Vacoas -(Upper MAW),3.9  ,0.6  
2018,  Sep,Mare Aux Vacoas -(Upper MAW),3.8  ,0.6  
2018,  Oct,Mare Aux Vacoas -(Upper MAW),3.9  ,0.6  
2018,  Nov,Mare Aux Vacoas -(Upper MAW),3.8  ,0.6  
2018,  Dec,Mare Aux Vacoas -(Upper MAW),3.9  ,0.6  
2019,  Jan,Mare Aux Vacoas -(Upper MAW),4.2  ,0.6  
2019,  Feb,Mare Aux Vacoas -(Upper MAW),3.8  ,0.6  
2019,  Mar,Mare Aux Vacoas -(Upper MAW),3.7  ,0.6  
2019,  Apr,Mare Aux Vacoas -(Upper MAW),3.5  ,0.6  
2019,  May,Mare Aux Vacoas -(Upper MAW),3.7  ,0.7  
2019,  Jun,Mare Aux Vacoas -(Upper MAW),3.9  ,0.7  
2019,  Jul,Mare Aux Vacoas -(Upper MAW),3.8  ,0.7  
2019,  Aug,Mare Aux Vacoas -(Upper MAW),3.8  ,0.9  
2019,  Sep,Mare Aux Vacoas -(Upper MAW),3.6  ,0.7  
2019,  Oct,Mare Aux Vacoas -(Upper MAW),4.1  ,0.7  
2019,  Nov,Mare Aux Vacoas -(Upper MAW),3.9  ,0.6  
2019,  Dec,Mare Aux Vacoas -(Upper MAW),3.9  ,0.7  
2020,  Jan,Mare Aux Vacoas -(Upper MAW),4.1  ,0.7  
2020,  Feb,Mare Aux Vacoas -(Upper MAW),3.8  ,0.6  
2020,  Mar,Mare Aux Vacoas -(Upper MAW),4.1  ,0.7  
2020,  Apr,Mare Aux Vacoas -(Upper MAW),4.0  ,0.7  
2020,  May,Mare Aux Vacoas -(Upper MAW),4.1  ,0.7  
2020,  Jun,Mare Aux Vacoas -(Upper MAW),4.0  ,0.7  
2020,  Jul,Mare Aux Vacoas -(Upper MAW),3.1  ,0.7  
2020,  Aug,Mare Aux Vacoas -(Upper MAW),3.4  ,0.9  
2020,  Sep,Mare Aux Vacoas -(Upper MAW),3.3  ,0.8  
2020,  Oct,Mare Aux Vacoas -(Upper MAW),4.2  ,0.7  
2020,  Nov,Mare Aux Vacoas -(Upper MAW),4.1  ,0.6  
2020,  Dec,Mare Aux Vacoas -(Upper MAW),4.1  ,0.7  
2021,  Jan,Mare Aux Vacoas -(Upper MAW),4.0  ,0.7  
2021,  Feb,Mare Aux Vacoas -(Upper MAW),3.6  ,0.6  
2021,  Mar,Mare Aux Vacoas -(Upper MAW),4.0  ,0.9  
2021,  Apr,Mare Aux Vacoas -(Upper MAW),3.6  ,0.8  
